Register for Kisan Swaraj Sammelan,பதிவு செய்யவும் கிசான் ஸ்வராஜ் மாநாடு
Email,மின்னஞ்சல்
jane@example.com,உதாரணம்@மின்னஞ்சல்.com
Continue,தொடரவும்
or,அல்லது
I don't have an Email ID,என்னிடம் மின்னஞ்சல் ஐடி இல்லை
Mobile Number,மொபைல் எண்
Enter your 10-digit mobile number,உங்கள் 10-இலக்க மொபைல் எண்ணை உள்ளிடவும்
Email Required,மின்னஞ்சல் தேவை
Please enter your email address,தயவுசெய்து உங்கள் மின்னஞ்சல் முகவரியை உள்ளிடவும்
Invalid Email,தவறான மின்னஞ்சல்
Please enter a valid email address,தயவுசெய்து சரியான மின்னஞ்சல் முகவரியை உள்ளிடவும்
Mobile Number Required,மொபைல் எண் தேவை
Please enter your mobile number,தயவுசெய்து உங்கள் மொபைல் எண்ணை உள்ளிடவும்
Invalid Mobile Number,தவறான மொபைல் எண்
Please enter a valid 10-digit Indian mobile number,தயவுசெய்து சரியான 10-இலக்க இந்திய மொபைல் எண்ணை உள்ளிடவும்
Error,பிழை
An error occurred while creating user. Please try again.,பயனரை உருவாக்கும்போது பிழை ஏற்பட்டது. மீண்டும் முயற்சிக்கவும்.
